Term,Description,Classes,References
 ablation,"A technique for evaluating the importance of a feature
or component by temporarily removing it from a model. You then
retrain the model without that feature or component, and if the retrained model
performs significantly worse, then the removed feature or component was
likely important. For example, suppose you train a
classification model
on 10 features and achieve 88% precision on the
test set. To check the importance
of the first feature, you can retrain the model using only the nine other
features. If the retrained model performs significantly worse (for instance,
55% precision), then the removed feature was probably important. Conversely,
if the retrained model performs equally well, then that feature was probably
not that important. Ablation can also help determine the importance of: Larger components, such as an entire subsystem of a larger ML system Processes or techniques, such as a data preprocessing step In both cases, you would observe how the system's performance changes (or
doesn't change) after you've removed the component.",None,"feature, model, classification model, precision, test set, importance"
 A/B testing,"A statistical way of comparing two (or more) techniques—the A
and the B. Typically, the A is an existing technique, and the
B is a new technique.
A/B testing not only determines which technique performs better
but also whether the difference is statistically significant. A/B testing usually compares a single metric on two techniques;
for example, how does model accuracy compare for two
techniques? However, A/B testing can also compare any finite number of
metrics.",None,"metric, accuracy"
 accelerator chip,"A category of specialized hardware components designed to perform key
computations needed for deep learning algorithms. Accelerator chips (or just accelerators, for short) can significantly
increase the speed and efficiency of training and inference tasks
compared to a general-purpose CPU. They are ideal for training
neural networks and similar computationally intensive tasks. Examples of accelerator chips include: Google's Tensor Processing Units (TPUs) with dedicated hardware
for deep learning. NVIDIA's GPUs which, though initially designed for graphics processing,
are designed to enable parallel processing, which can significantly
increase processing speed.",Google Cloud,TPUs
 accuracy,"The number of correct classification predictions divided
by the total number of predictions. That is: For example, a model that made 40 correct predictions and 10 incorrect
predictions would have an accuracy of: Binary classification provides specific names
for the different categories of correct predictions and
incorrect predictions. So, the accuracy formula for binary classification
is as follows: where: TP is the number of true positives (correct predictions). TN is the number of true negatives (correct predictions). FP is the number of false positives (incorrect predictions). FN is the number of false negatives (incorrect predictions). Compare and contrast accuracy with
precision and
recall. See Classification: Accuracy, recall, precision and related
metrics
in Machine Learning Crash Course for more information.",ML Fundamentals,"predictions, Binary classification, true positives, true negatives, false positives, false negatives, precision, recall, Classification: Accuracy, recall, precision and related
metrics"
action,"In reinforcement learning,
the mechanism by which the agent
transitions between states of the
environment. The agent chooses the action by using a
policy.",Reinforcement Learning,"reinforcement learning, agent, states, environment, policy"
activation function,"A function that enables neural networks to learn
nonlinear (complex) relationships between features
and the label. Popular activation functions include: ReLU Sigmoid The plots of activation functions are never single straight lines.
For example, the plot of the ReLU activation function consists of
two straight lines: A plot of the sigmoid activation function looks as follows: See Neural networks: Activation
functions
in Machine Learning Crash Course for more information.",ML Fundamentals,"neural networks, nonlinear, ReLU, Sigmoid, Neural networks: Activation
functions"
active learning,"A training approach in which the
algorithm chooses some of the data it learns from. Active learning
is particularly valuable when labeled examples
are scarce or expensive to obtain. Instead of blindly seeking a diverse
range of labeled examples, an active learning algorithm selectively seeks
the particular range of examples it needs for learning.",None,"training, labeled examples"
 AdaGrad,"A sophisticated gradient descent algorithm that rescales the
gradients of each parameter, effectively giving each parameter
an independent learning rate. For a full explanation, see
this AdaGrad paper.",None,"parameter, learning rate, this AdaGrad paper"
 agent,"In reinforcement learning,
the entity that uses a
policy to maximize the expected return gained from
transitioning between states of the
environment. More generally, an agent is software that autonomously plans and executes a
series of actions in pursuit of a goal, with the ability to adapt to changes
in its environment. For example, an LLM-based agent might use an
LLM to generate a plan, rather than applying a reinforcement learning policy.",Reinforcement Learning,"reinforcement learning, policy, return, states, environment, LLM"
 agglomerative clustering,See hierarchical clustering.,Clustering,hierarchical clustering
 anomaly detection,"The process of identifying outliers. For example, if the mean
for a certain feature is 100 with a standard deviation of 10,
then anomaly detection should flag a value of 200 as suspicious.",None,"outliers, feature"
 AR,Abbreviation for augmented reality.,None,augmented reality
 area under the PR curve,See PR AUC (Area under the PR Curve).,None,PR AUC (Area under the PR Curve)
 area under the ROC curve,See AUC (Area under the ROC curve).,None,AUC (Area under the ROC curve)
 artificial general intelligence,"A non-human mechanism that demonstrates a broad range of problem solving,
creativity, and adaptability. For example, a program demonstrating artificial
general intelligence could translate text, compose symphonies, and excel at
games that have not yet been invented.",None,None
 artificial intelligence,"A non-human program or model that can solve sophisticated tasks.
For example, a program or model that translates text or a program or model that
identifies diseases from radiologic images both exhibit artificial intelligence. Formally, machine learning is a sub-field of artificial
intelligence. However, in recent years, some organizations have begun using the
terms artificial intelligence and machine learning interchangeably.",ML Fundamentals,"model, machine learning"
 attention,"A mechanism used in a neural network that indicates
the importance of a particular word or part of a word. Attention compresses
the amount of information a model needs to predict the next token/word.
A typical attention mechanism might consist of a
weighted sum over a set of inputs, where the
weight for each input is computed by another part of the
neural network. Refer also to self-attention and
multi-head self-attention, which are the
building blocks of Transformers. See LLMs: What's a large language
model?
in Machine Learning Crash Course for more information about self-attention.",Language Evaluation,"neural network, weighted sum, weight, self-attention, multi-head self-attention, Transformers, LLMs: What's a large language
model?"
 attribute,"Synonym for feature. In machine learning fairness, attributes often refer to
characteristics pertaining to individuals.",Fairness,feature
 attribute sampling,"A tactic for training a decision forest in which each
decision tree considers only a random subset of possible
features when learning the condition.
Generally, a different subset of features is sampled for each
node. In contrast, when training a decision tree
without attribute sampling, all possible features are considered for each node.",Decision Forests,"decision forest, decision tree, features, condition, node"
